Naïve,Activation:Effector function,Exhaustion,TCR Signaling,Cytotoxicity,Cytokine/Cytokine receptor,Chemokine/Chemokine receptor,Senescence,Anergy,NFKB Signaling,Stress response,MAPK Signaling,Adhesion,IFN Response,Oxidative phosphorylation,Glycolysis,Fatty acid metabolism,Pro-apoptosis,Anti-apoptosis,G1/S,G2/M
,,,PLCG2,,,,,,,EHMT2,,,DDX60L,ATP6V0D1,,,,,H3F3AP2,
,,,PPP3CA,,,,,,,TERF1,,,IFI30,ATP6V0E1,,,,,H3F3B,
,,,PPP3CC,,,,,,,PSMC1,,,IFI35,ATP6V0E2,,,,,H3F3C,
,,,FOS,,,,,,,ATR,,,IFI44,ATP6V1D,,,,,HIST1H1A,
,,,FOSB,,,,,,,PSMC3,,,IFI44L,ATP6V1F,,,,,HIST1H1B,
,,,FOSL1,,,,,,,SOD1,,,IFI6,ATP6V1G1,,,,,HIST1H1C,
,,,FOSL2,,,,,,,PSMC4,,,IFIH1,ATP8B2,,,,,HIST1H1D,
,,,JUN,,,,,,,PSMC5,,,PARP10,ATP8B4,,,,,HIST1H1E,
,,,JUNB,,,,,,,PSMC6,,,PARP12,COX16,,,,,HIST1H1PS1,
,,,JUND,,,,,,,PSME1,,,PARP14,COX17,,,,,HIST1H1PS2,
,,,NR4A1,,,,,,,ATG3,,,,COX4I1,,,,,HIST1H1T,
,,,NR4A2,,,,,,,NCF1,,,,COX5A,,,,,HIST1H2AA,
,,,NR4A3,,,,,,,PSME2,,,,COX5B,,,,,HIST1H2AB,
,,,BATF,,,,,,,ATG5,,,,COX6A1,,,,,HIST1H2AC,
,,,IRF4,,,,,,,CHMP2A,,,,COX6B1,,,,,HIST1H2AD,
,,,SH2D2A,,,,,,,CHMP2B,,,,COX6C,,,,,HIST1H2AE,
,,,,,,,,,,GSK3B,,,,COX7A2,,,,,HIST1H2AG,
,,,,,,,,,,RPS19BP1,,,,COX7B,,,,,HIST1H2AH,
,,,,,,,,,,TPR,,,,COX7C,,,,,HIST1H2AI,
,,,,,,,,,,MDM4,,,,COX8A,,,,,HIST1H2AJ,
,,,,,,,,,,ELOB,,,,CYC1,,,,,HIST1H2AK,
,,,,,,,,,,CDC26,,,,MT.ATP6,,,,,HIST1H2AL,
,,,,,,,,,,ELOC,,,,MT.ATP8,,,,,HIST1H2AM,
,,,,,,,,,,ST13,,,,MT.CO1,,,,,HIST1H2APS1,
,,,,,,,,,,RPS6KA1,,,,MT.CO2,,,,,HIST1H2APS2,
,,,,,,,,,,EEF1A1,,,,MT.CO3,,,,,HIST1H2APS3,
,,,,,,,,,,RPS6KA3,,,,MT.CYB,,,,,HIST1H2APS4,
,,,,,,,,,,CHMP4A,,,,MT.ND1,,,,,HIST1H2APS5,
,,,,,,,,,,DNAJB1,,,,MT.ND2,,,,,HIST1H2BA,
,,,,,,,,,,CAMK2G,,,,MT.ND3,,,,,HIST1H2BB,
,,,,,,,,,,RPS27A,,,,MT.ND4,,,,,HIST1H2BC,
,,,,,,,,,,TXN2,,,,MT.ND4L,,,,,HIST1H2BD,
,,,,,,,,,,PRDX1,,,,MT.ND5,,,,,HIST1H2BE,
,,,,,,,,,,PRDX2,,,,MT.ND6,,,,,HIST1H2BF,
,,,,,,,,,,DNAJB6,,,,NDUFA1,,,,,HIST1H2BG,
,,,,,,,,,,FKBP4,,,,NDUFA10,,,,,HIST1H2BH,
,,,,,,,,,,PRDX3,,,,NDUFA11,,,,,HIST1H2BI,
,,,,,,,,,,MAP2K3,,,,NDUFA12,,,,,HIST1H2BJ,
,,,,,,,,,,MTMR14,,,,NDUFA13,,,,,HIST1H2BK,
,,,,,,,,,,ATG12,,,,NDUFA2,,,,,HIST1H2BL,
,,,,,,,,,,PRDX5,,,,NDUFA3,,,,,HIST1H2BM,
,,,,,,,,,,RHEB,,,,NDUFA4,,,,,HIST1H2BN,
,,,,,,,,,,PRDX6,,,,NDUFA5,,,,,HIST1H2BO,
,,,,,,,,,,GSTP1,,,,NDUFA6,,,,,HIST1H2BPS1,
,,,,,,,,,,ATG14,,,,NDUFAB1,,,,,HIST1H2BPS2,
,,,,,,,,,,RELA,,,,NDUFAF3,,,,,HIST1H3A,
,,,,,,,,,,GPX1,,,,NDUFAF4,,,,,HIST1H3B,
,,,,,,,,,,VHL,,,,NDUFAF8,,,,,HIST1H3C,
,,,,,,,,,,HSPA1A,,,,NDUFB10,,,,,HIST1H3D,
,,,,,,,,,,UBE2D1,,,,NDUFB11,,,,,HIST1H3E,
,,,,,,,,,,TERF2IP,,,,NDUFB2,,,,,HIST1H3F,
,,,,,,,,,,HSPA1B,,,,NDUFB3,,,,,HIST1H3G,
,,,,,,,,,,UBE2D2,,,,NDUFB4,,,,,HIST1H3H,
,,,,,,,,,,TXN,,,,NDUFB6,,,,,HIST1H3I,
,,,,,,,,,,UBE2D3,,,,NDUFB7,,,,,HIST1H3J,
,,,,,,,,,,HSPH1,,,,NDUFB8,,,,,HIST1H3PS1,
,,,,,,,,,,CYBA,,,,NDUFB9,,,,,HIST1H4A,
,,,,,,,,,,CDK4,,,,NDUFC1,,,,,HIST1H4B,
,,,,,,,,,,HSF1,,,,NDUFC2,,,,,HIST1H4C,
,,,,,,,,,,CDK6,,,,NDUFS2,,,,,HIST1H4D,
,,,,,,,,,,MAPKAPK3,,,,NDUFS3,,,,,HIST1H4E,
,,,,,,,,,,CITED2,,,,NDUFS5,,,,,HIST1H4F,
,,,,,,,,,,MAP1LC3B,,,,NDUFS6,,,,,HIST1H4G,
,,,,,,,,,,PSMD12,,,,NDUFS7,,,,,HIST1H4H,
,,,,,,,,,,HIF1A,,,,NDUFS8,,,,,HIST1H4I,
,,,,,,,,,,HMGA1,,,,NDUFV1,,,,,HIST1H4J,
,,,,,,,,,,PSMD13,,,,NDUFV2,,,,,HIST1H4K,
,,,,,,,,,,MINK1,,,,SDHA,,,,,HIST1H4L,
,,,,,,,,,,PSMD14,,,,SDHB,,,,,HIST1H4PS1,
,,,,,,,,,,HSP90AB1,,,,TCIRG1,,,,,HIST2H2AA3,
,,,,,,,,,,PTGES3,,,,UQCRB,,,,,HIST2H2AA4,
,,,,,,,,,,CXCL8,,,,UQCRC1,,,,,HIST2H2AB,
,,,,,,,,,,HSBP1,,,,UQCRC2,,,,,HIST2H2AC,
,,,,,,,,,,NFKB1,,,,UQCRFS1,,,,,HIST2H2BA,
,,,,,,,,,,UVRAG,,,,UQCRH,,,,,HIST2H2BB,
,,,,,,,,,,CAT,,,,UQCRQ,,,,,HIST2H2BC,
,,,,,,,,,,PSMB1,,,,SURF1,,,,,HIST2H2BD,
,,,,,,,,,,CDKN2C,,,,SURF4,,,,,HIST2H2BE,
,,,,,,,,,,PSMB2,,,,,,,,,HIST2H2BF,
,,,,,,,,,,CDKN2D,,,,,,,,,HIST2H3A,
,,,,,,,,,,FOS,,,,,,,,,HIST2H3C,
,,,,,,,,,,PSMB3,,,,,,,,,HIST2H3D,
,,,,,,,,,,CCS,,,,,,,,,HIST2H3PS2,
,,,,,,,,,,JUN,,,,,,,,,HIST2H4A,
,,,,,,,,,,GABARAPL1,,,,,,,,,HIST2H4B,
,,,,,,,,,,GABARAPL2,,,,,,,,,HIST3H2A,
,,,,,,,,,,PSMB6,,,,,,,,,HIST3H2BA,
,,,,,,,,,,KDM6B,,,,,,,,,HIST3H2BB,
,,,,,,,,,,PSMB8,,,,,,,,,HIST3H3,
,,,,,,,,,,PSMD2,,,,,,,,,HIST4H4,
,,,,,,,,,,TNIK,,,,,,,,,MCM2,
,,,,,,,,,,PSMB9,,,,,,,,,MCM6,
,,,,,,,,,,PSMD3,,,,,,,,,MSH2,
,,,,,,,,,,RANBP2,,,,,,,,,NASP,
,,,,,,,,,,ATOX1,,,,,,,,,NPAT,
,,,,,,,,,,SEM1,,,,,,,,,PCNA,
,,,,,,,,,,PSMD6,,,,,,,,,RRM1,
,,,,,,,,,,GABARAP,,,,,,,,,RRM2,
,,,,,,,,,,PSMD7,,,,,,,,,SLBP,
,,,,,,,,,,PSMF1,,,,,,,,,TYMS,
,,,,,,,,,,CHMP3,,,,,,,,,,
,,,,,,,,,,STAT3,,,,,,,,,,
,,,,,,,,,,PSMD8,,,,,,,,,,
,,,,,,,,,,TINF2,,,,,,,,,,
,,,,,,,,,,PSMD9,,,,,,,,,,
,,,,,,,,,,CHMP7,,,,,,,,,,
,,,,,,,,,,CCAR2,,,,,,,,,,
,,,,,,,,,,HSPA4,,,,,,,,,,
,,,,,,,,,,YWHAE,,,,,,,,,,
,,,,,,,,,,BAG1,,,,,,,,,,
,,,,,,,,,,HSPA5,,,,,,,,,,
,,,,,,,,,,HSPA6,,,,,,,,,,
,,,,,,,,,,BAG3,,,,,,,,,,
,,,,,,,,,,DYNLL1,,,,,,,,,,
,,,,,,,,,,HSPA8,,,,,,,,,,
,,,,,,,,,,RB1CC1,,,,,,,,,,
,,,,,,,,,,BAG5,,,,,,,,,,
,,,,,,,,,,ANAPC5,,,,,,,,,,
,,,,,,,,,,DYNLL2,,,,,,,,,,
,,,,,,,,,,VCP,,,,,,,,,,
,,,,,,,,,,DNAJC2,,,,,,,,,,
,,,,,,,,,,CABIN1,,,,,,,,,,
,,,,,,,,,,CEBPB,,,,,,,,,,
