Type I interferon,Chemokine activity,Pro-inflammation,Glycolysis,Angiogenesis,MDSC,Tissue resident-like TAMs,Regulatory TAMs,Inflammation TAMs,Classical TIMs,M1 signature,M2 signature,Tumor associated neutrophils,Neutrophil chemotaxis,Neutrophil activation
IFNA14,,,,,HP,,,,,,,,DPP4,SURF4
IFNA7,,,,,ALOX5AP,,,,,,,,EDN1,CMTM6
IFNA1,,,,,LITAF,,,,,,,,EDN2,PRDX4
IFI35,,,,,TXN1,,,,,,,,EDN3,CAP1
HSP90AB1,,,,,UPP1,,,,,,,,FCER1G,ARHGAP9
MAVS,,,,,C19orf38,,,,,,,,GBF1,SERPINB12
MYD88,,,,,GPCPD1,,,,,,,,ITGA1,DIAPH1
IRF4,,,,,SNAP23,,,,,,,,ITGB2,GSTP1
CACTIN,,,,,IL4R,,,,,,,,JAML,CPPED1
IRF7,,,,,H2BC4,,,,,,,,LBP,PRTN3
RSAD2,,,,,RETNLB,,,,,,,,LGALS3,RNASE3
MMP12,,,,,MYD88,,,,,,,,MCU,FABP5
OASL,,,,,ADIPOR1,,,,,,,,MDK,GPR84
IFNAR2,,,,,STK17B,,,,,,,,MOSPD2,AMPD3
PSMB8,,,,,ZYX,,,,,,,,NCKAP1L,METTL7A
SP100,,,,,RGS3,,,,,,,,PDE4B,LRRC7
