basal,lumhr,lumsec
TAGLN,MUCL1,SLPI
ACTA2,PIP,S100A9
TPM2,TCIM,LTF
MYLK,ANKRD30A,MMP7
CXCL14,AGR2,KRT15
APOE,TFF1,PI3
SPARCL1,TFF3,SCGB2A2
ACTG2,SYTL2,CCL28
C2orf40,AGR3,ALDH1A3
CNN1,STC2,PIGR
MYL9,DNAJC12,KRT23
IGFBP2,TMC5,RARRES1
ADAMTS1,EFHD1,PDE4B
OXTR,BATF,NDRG2
POSTN,RASEF,S100A1
CAV1,ELOVL5,ARRDC3
TSHZ2,TNFAIP8,
COL17A1,ITGAV,
,MLPH,
,SQOR,
,FBP1,
,CD99,
,ALCAM,
,GOLM1,
,TSPAN13,
,MUC1,
